timestamp,avg-block-size,cost-per-transaction,difficulty,hash-rate,market-cap,median-confirmation-time,miners-revenue,n-orphaned-blocks,n-transactions-per-block,n-transactions,n-unique-addresses,total-bitcoins,trade-volume,transaction-fees
2010-09-27 00:00:00,0.000836063025210084,1.1584528951486697,917.8307413015116,0.010858896042621712,256372.69809999998,0.0,740.2514,0.0,4.0,639.0,753.0,4121350.0,10752.245,0.02
2010-09-29 00:00:00,0.002503361581920904,0.5515467835671344,1318.6700501535925,0.011602605542980458,257528.79,0.0,550.4436900000001,0.0,2.0,998.0,1000.0,4141000.0,23475.642,1.03
2010-10-01 00:00:00,0.0010720641025641026,0.8589559502664298,1318.6700501535925,0.010226025224321759,257658.54415,0.0,483.5922,0.0,2.0,563.0,664.0,4155850.0,1717.45,0.56
2010-10-03 00:00:00,0.0011912396694214876,0.9263591022443891,1318.6700501535925,0.007931724693223929,255875.29,0.0,371.47,0.0,2.0,401.0,501.0,4167350.0,7172.633,0.00776813
2010-10-05 00:00:00,0.0009704552845528455,1.0977662889518411,1318.6700501535925,0.008062827580715233,263457.412,0.0,387.51149999999996,0.0,2.0,353.0,471.0,4181200.0,27526.613,0.0
2010-10-07 00:00:00,0.0006869479768786128,1.4915405405405406,1318.6700501535925,0.011340399767997849,267797.31,0.0,551.87,0.0,2.0,370.0,443.0,4197450.0,43692.981,0.0
2010-10-09 00:00:00,0.0009084901960784312,2.403341623036649,1318.6700501535925,0.010029370893084803,505584.12850000005,0.0,918.0765,0.0,1.0,382.0,468.0,4212850.0,187846.954,0.0
2010-10-11 00:00:00,0.0006330181818181818,3.0842672413793104,1318.6700501535925,0.010815988218032629,550283.97,0.0,1073.325,0.0,1.0,348.0,443.0,4229700.0,14092.905,0.00000109
2010-10-13 00:00:00,0.0006748284023668639,2.2935714285714286,1378.0281650373263,0.01157686362736774,403384.25,0.0,802.75,0.0,1.0,350.0,446.0,4246150.0,47557.265,0.0
2010-10-15 00:00:00,0.000513108108108108,3.3055555555555554,1378.0281650373263,0.01267289805362741,507535.0,0.0,1100.75,0.0,2.0,333.0,407.0,4265000.0,24643.334,0.0
2010-10-17 00:00:00,0.00048612765957446806,3.038041237113402,1378.0281650373263,0.019317606762826643,448414.725,0.0,1473.45,0.0,3.0,485.0,579.0,4291050.0,18222.191,0.0
